Year,Host,Stage,Home Team,Away Team,Home Score,Away Score,Winning Team,Losing Team
1930,Uruguay,Group Stage,France,Mexico,4,1,France,Mexico
1930,Uruguay,Group Stage,Belgium,United States,0,3,United States,Belgium
1930,Uruguay,Group Stage,Brazil,Yugoslavia,1,2,Yugoslavia,Brazil
1930,Uruguay,Group Stage,Peru,Romania,1,3,Romania,Peru
1930,Uruguay,Group Stage,Argentina,France,1,0,Argentina,France
1930,Uruguay,Group Stage,Chile,Mexico,3,0,Chile,Mexico
1930,Uruguay,Group Stage,Bolivia,Yugoslavia,0,4,Yugoslavia,Bolivia
1930,Uruguay,Group Stage,Paraguay,United States,0,3,United States,Paraguay
1930,Uruguay,Group Stage,Uruguay,Peru,1,0,Uruguay,Peru
1930,Uruguay,Group Stage,Argentina,Mexico,6,3,Argentina,Mexico
1930,Uruguay,Group Stage,Chile,France,1,0,Chile,France
1930,Uruguay,Group Stage,Belgium,Paraguay,0,1,Paraguay,Belgium
1930,Uruguay,Group Stage,Bolivia,Brazil,0,4,Brazil,Bolivia
1930,Uruguay,Group Stage,Uruguay,Romania,4,0,Uruguay,Romania
1930,Uruguay,Group Stage,Argentina,Chile,3,1,Argentina,Chile
1930,Uruguay,Semifinals,Argentina,United States,6,1,Argentina,United States
1930,Uruguay,Semifinals,Uruguay,Yugoslavia,6,1,Uruguay,Yugoslavia
1930,Uruguay,Final,Uruguay,Argentina,4,2,Uruguay,Argentina
1934,Italy,Round of 16,Argentina,Sweden,2,3,Sweden,Argentina
1934,Italy,Round of 16,Austria,France,3,2,Austria,France
1934,Italy,Round of 16,Belgium,Germany,2,5,Germany,Belgium
1934,Italy,Round of 16,Brazil,Spain,1,3,Spain,Brazil
1934,Italy,Round of 16,Czechoslovakia,Romania,2,1,Czechoslovakia,Romania
1934,Italy,Round of 16,Egypt,Hungary,2,4,Hungary,Egypt
1934,Italy,Round of 16,Italy,United States,7,1,Italy,United States
1934,Italy,Round of 16,Netherlands,Switzerland,2,3,Switzerland,Netherlands
1934,Italy,Quarterfinals,Austria,Hungary,2,1,Austria,Hungary
1934,Italy,Quarterfinals,Czechoslovakia,Switzerland,3,2,Czechoslovakia,Switzerland
1934,Italy,Quarterfinals,Germany,Sweden,2,1,Germany,Sweden
1934,Italy,Quarterfinals,Italy,Spain,1,1,Draw,Draw
1934,Italy,Quarterfinals,Italy,Spain,1,0,Italy,Spain
1934,Italy,Semifinals,Czechoslovakia,Germany,3,1,Czechoslovakia,Germany
